classification_ethnologue,classification_glottolog,classification_wals,code_glottolog,code_iso,code_wals,description,ethnologue_family,glottolog_family,id,jsondata,latitude,long_extinct,longitude,markup_description,name,number_of_speakers,pk,recently_extinct,txt,wals_family,wals_genus,wordlist_pk,year_of_extinction
"Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian","Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,LowFranconian,Afrikaansic",IE.GERMANIC,afri1274,afr,afr,,Indo-European,Indo-European,AFRIKAANS,{},-31.0,False,22.0,,Afrikaans,7237060,2179,False,"AFRIKAANS{IE.GERMANIC|Indo-European,Germanic,West,LowSaxon-LowFranconian,LowFranconian|@Indo-European,Germanic,NorthwestGermanic,WestGermanic,Franconian,LowFranconian,Afrikaansic}
 1  -31.00   22.00     7237060   afr   afr
1 I	Ek //
2 you	y3i //
3 we	o*s //
11 one	en //
12 two	tw~e //
18 person	mE*s //
19 fish	fis //
21 dog	hont //
22 louse	lEis //
23 tree	bom //
25 leaf	blor //
28 skin	fEl //
30 blood	blut //
31 bone	ben //
34 horn	horiN //
39 ear	or //
40 eye	ox //
41 nose	nes //
43 tooth	tant //
44 tongue	toN //
47 knee	kni //
48 hand	hant //
51 breast	bors //
53 liver	lev3r //
54 drink	driNk //
57 see	sin //
58 hear	hor //
61 die	stErf, dotx~an //
66 come	kom //
72 sun	son //
74 star	stEr //
75 water	vat3r //
77 stone	klip //
82 fire	fur //
85 path	pat //
86 mountain	bErk //
92 night	nax //
95 full	fol //
96 new	nut, nuv3 //
100 name	nam //",,germanic,2179,
"Indo-European,Indo-Iranian,Indo-Aryan,IntermediateDivisions,Western,Rajasthani,Unclassified_gju","Indo-European,Indo-Iranian,Indo-Aryan,Indo-AryanCentralzone,SubcontinentalCentralIndo-Aryan,Gujarati-Rajasthani,Rajasthani,Mewati-Gojri",IE.INDIC,guja1253,gju,goj,,Indo-European,Indo-European,AGRA_GUJARI,{},27.18,False,78.0,,Agra Gujari,992000,2224,False,"AGRA_GUJARI{IE.INDIC|Indo-European,Indo-Iranian,Indo-Aryan,IntermediateDivisions,Western,Rajasthani,Unclassified_gju|@Indo-European,Indo-Iranian,Indo-Aryan,Indo-AryanCentralzone,SubcontinentalCentralIndo-Aryan,Gujarati-Rajasthani,Rajasthani,Mewati-Gojri}
 1   27.18   78.00      992000   goj   gju
1 I	ma*i* //
2 you	t3m //
3 we	h3m //
11 one	ekh~ //
12 two	do //
18 person	manos //
19 fish	m3Ch~i //
21 dog	kut3 //
22 louse	 //
23 tree	rukh~ //
25 leaf	p3t3 //
28 skin	kh~al //
30 blood	Lou //
31 bone	h3di //
34 horn	siNg //
39 ear	kan //
40 eye	a*kh~ //
41 nose	nakh~ //
43 tooth	d3*nt //
44 tongue	jib //
47 knee	 //
48 hand	 //
51 breast	C3ti //
53 liver	 //
54 drink	pi //
57 see	dh~Ekh~ //
58 hear	sun //
61 die	m3r //
66 come	an3 //
72 sun	suraZ //
74 star	tar3 //
75 water	pani //
77 stone	p3t3r //
82 fire	ag //
85 path	ra //
86 mountain	 //
92 night	rath~ //
95 full	 //
96 new	n3wa* //
100 name	na* //",,indic,2224,
"Indo-European,Albanian,Tosk","Indo-European,Albanian,Albanian-Tosk",IE.ALBANIAN,tosk1239,als,alb,,Indo-European,Indo-European,ALBANIAN,{},41.0,False,20.0,,Albanian,1841400,2161,False,"ALBANIAN{IE.ALBANIAN|Indo-European,Albanian,Tosk|@Indo-European,Albanian,Albanian-Tosk}
 1   41.00   20.00     1841400   alb   als
1 I	un3 //
2 you	ju //
3 we	ne //
11 one	Ne //
12 two	di //
18 person	vet3, person, individ //
19 fish	peSk //
21 dog	Ten //
22 louse	morr //
23 tree	dru, pem3 //
25 leaf	Tethe, flet3, kanat //
28 skin	l3kur3, l3vore //
30 blood	Tak // ID unclear, either aln or als. source says: Shqip. Member of macrolanguage sqi.
31 bone	aSt, koc, hal3 //
34 horn	bri, bori //
39 ear	veS, d3Tim, dorez3, kalli //
40 eye	si, vrim3, filiTe, syth, Sikim //
41 nose	hund3, nuhatye //
43 tooth	8Emb, 8Emb3z //
44 tongue	Tuh3, t3 folurit //
47 knee	Tu //
48 hand	dor3, pun3tor, akrep, pyes3marrye //
51 breast	kraharor, Ti //
53 liver	m3lCi //
54 drink	pirye, got3 //
57 see	Soh, Sikoy, v3 re, STuay, kuydesem, kuptoj //
58 hear	d3gyoy, m3soy, marr veS, marr layme, letra //
61 die	vdes, Nordh, viSk, Suay //
66 come	viy //
72 sun	dyell //
74 star	ill //
75 water	uj3 //
77 stone	gur //
82 fire	ndez, dyeg, Stie, T3lloy //
85 path	Steg, rrug3 //
86 mountain	mal //
92 night	nat3 //
95 full	e mbuSur plot me, i mbuSur plot me, i plot3, e plot3, plot3siSt, t3r3siSt, plot //
96 new	i ri, e re, i fresk3t, e fresk3t //
100 name	em3r, nam, fam3 //",,albanian,2161,
"Indo-European,Albanian,Gheg","Indo-European,Albanian",IE.ALBANIAN,gheg1238,aln,alb,,Indo-European,Indo-European,ALBANIAN_GHEG,{},41.33,False,20.83,,Albanian Gheg,1821480,2160,False,"ALBANIAN_GHEG{IE.ALBANIAN|Indo-European,Albanian,Gheg|@Indo-European,Albanian}
 1   41.33   20.83     1821480   alb   aln
1 I	un3 //
2 you	yu //
3 we	ne //
11 one	nyi //
12 two	di //
18 person	5eri //
19 fish	peSk //
21 dog	qen //
22 louse	mor //
23 tree	dru* //
25 leaf	flet3 //
28 skin	l3kur3 //
30 blood	gy~ak //
31 bone	aSt //
34 horn	bri* //
39 ear	veS //
40 eye	sy //
41 nose	hund3 //
43 tooth	dhamb //
44 tongue	gy~uh3 //
47 knee	gy~u* //
48 hand	dor3 //
51 breast	gji* //
53 liver	m3lCi //
54 drink	gy~erb //
57 see	Sof //
58 hear	d3gy~oy //
61 die	vdes //
66 come	yak3 //
72 sun	dieL //
74 star	iL //
75 water	uy3 //
77 stone	gur //
82 fire	zyarm //
85 path	kap8 //
86 mountain	mal //
92 night	nat3 //
95 full	cit3 //
96 new	ri //
100 name	em3n //",,albanian,2160,
"Indo-European,Albanian,Tosk","Indo-European,Albanian,Albanian-Tosk",IE.ALBANIAN,tosk1239,als,alb,,Indo-European,Indo-European,ALBANIAN_TOSK,{},41.0,False,20.0,,Albanian Tosk,1841400,2162,False,"ALBANIAN_TOSK{IE.ALBANIAN|Indo-European,Albanian,Tosk|@Indo-European,Albanian,Albanian-Tosk}
 1   41.00   20.00     1841400   alb   als
1 I	un3 //
2 you	ti //
3 we	nE //
11 one	53 //
12 two	du //
18 person	vEt3 //
19 fish	pESk //
21 dog	TEn //
22 louse	mor //
23 tree	pEm3 //
25 leaf	flEt3 //
28 skin	l3kur3 //
30 blood	TEk //
31 bone	aSt, kock3 //
34 horn	bri //
39 ear	vES //
40 eye	si //
41 nose	hund3 //
43 tooth	83mb //
44 tongue	Tuh3 //
47 knee	Tu //
48 hand	dor3 //
51 breast	Toks //
53 liver	m3lCi, jigEr //
54 drink	pi //
57 see	Soh //
58 hear	d3Toy //
61 die	vdEs //
66 come	viy //
72 sun	diEL //
74 star	uL //
75 water	uy3 //
77 stone	gur //
82 fire	zy~ar //
85 path	StEg, u83 //
86 mountain	mal //
92 night	nat3 //
95 full	plot3 //
96 new	ri //
100 name	Em3r //",,albanian,2162,
"Indo-European,Germanic,West,HighGerman,German,UpperGerman,Alemannic","Indo-European,Germanic,NorthwestGermanic,WestGermanic,HighGerman,Middle-ModernHighGerman,ModernHighGerman,AlpineGermanic,Alemannic",IE.GERMANIC,swis1247,gsw,alt,,Indo-European,Indo-European,ALSATIAN,{},48.5,False,7.5,,Alsatian,6324200,2180,False,"ALSATIAN{IE.GERMANIC|Indo-European,Germanic,West,HighGerman,German,UpperGerman,Alemannic|@Indo-European,Germanic,NorthwestGermanic,WestGermanic,HighGerman,Middle-ModernHighGerman,ModernHighGerman,AlpineGermanic,Alemannic}
 1   48.50    7.50     6324200   alt   gsw
1 I	ix //
2 you	di //
3 we	mir //
11 one	eins //
12 two	cvei //
18 person	%person // loan from Latin < Etruscan
19 fish	feS //
21 dog	hunt //
22 louse	lis //
23 tree	bam //
25 leaf	blet //
28 skin	hit //
30 blood	blu3t //
31 bone	knox3 //
34 horn	 //
39 ear	or //
40 eye	au //
41 nose	nos //
43 tooth	con //
44 tongue	cuN //
47 knee	kni //
48 hand	hont //
51 breast	bruSt //
53 liver	lEv3r //
54 drink	driNk~3 //
57 see	sE //
58 hear	her3 //
61 die	stErv3 //
66 come	kum3 //
72 sun	sun //
74 star	Stern3 //
75 water	vos3r //
77 stone	Stan //
82 fire	fir //
85 path	Stros //
86 mountain	bEri //
92 night	not //
95 full	 //
96 new	nei //
100 name	nom3 //",,germanic,2180,
"Indo-European,Italic,Romance,Italo-Western,Western,Pyrenean-Mozarabic,Pyrenean","Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,UnshiftedWesternRomance",IE.ROMANCE,arag1245,arg,,,Indo-European,Indo-European,ARAGONESE,{},42.17,False,-0.17,,Aragonese,10000,2465,False,"ARAGONESE{IE.ROMANCE|Indo-European,Italic,Romance,Italo-Western,Western,Pyrenean-Mozarabic,Pyrenean|@Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,UnshiftedWesternRomance}
 1   42.17   -0.17       10000         arg
1 I	yo //
2 you	tu //
3 we	nusatros, nusaltros //
11 one	un, uno //
12 two	dos //
18 person	ombre //
19 fish	peS, peSe //
21 dog	kan, koCo //
22 louse	pegoLo, peduLo //
23 tree	arbol //
25 leaf	fueLa //
28 skin	piel, peleLo //
30 blood	saNgre //
31 bone	gw~eso //
34 horn	kw~erno //
39 ear	oreLa //
40 eye	gw~eLo //
41 nose	nari8, naso //
43 tooth	dien //
44 tongue	lueNga, LueNga //
47 knee	CinoLo, CenuLo //
48 hand	man //
51 breast	peito //
53 liver	figado //
54 drink	beber //
57 see	beyer //
58 hear	sentir //
61 die	morir //
66 come	benir //
72 sun	sol //
74 star	estrela //
75 water	augw~a //
77 stone	pe5a, kantal //
82 fire	fuego //
85 path	kamin //
86 mountain	mon //
92 night	nueit //
95 full	pleno, plen //
96 new	nuebo //
100 name	nombre, nome //",,romance,2465,
"Indo-European,ClassicalArmenian","Indo-European,Armenic",IE.ARMENIAN,clas1249,xcl,,,Indo-European,Indo-European,ARMENIAN_CLASSICAL,{},40.0,True,45.0,,Armenian Classical,0,2165,False,"ARMENIAN_CLASSICAL{IE.ARMENIAN|Indo-European,ClassicalArmenian|@Indo-European,Armenic}
 1   40.00   45.00          -2         xcl
1 I	es //
2 you	du //
3 we	mekh~ //
11 one	mi //
12 two	erku //
18 person	andzn, andzrn //
19 fish	juk3n //
21 dog	San, Sun // //
22 louse	 //
23 tree	tsao, payt //
25 leaf	 //
28 skin	maCh~k //
30 blood	ariun //
31 bone	oskr, osker //
34 horn	eLjiwr //
39 ear	unkn, unkan //
40 eye	akn //
41 nose	 //
43 tooth	atamn //
44 tongue	lezu //
47 knee	tsunr //
48 hand	jern //
51 breast	kurtskh~, strn, stean, steantsh~ //
53 liver	leard //
54 drink	arbi, rmpem //
57 see	 //
58 hear	lsem, loway //
61 die	kornCim, koreay, neoamin, laph~Ch~anrm //
66 come	zam //
72 sun	arew //
74 star	ast3L //
75 water	jur //
77 stone	kh~ar, lem //
82 fire	hur, krak, hioy //
85 path	Canaparh, uli // source gives: Canaparh, uli=road, way, route, journey
86 mountain	learn //
92 night	ziSer, erek, erekry, tsh~ayz //
95 full	li //
96 new	nor //
100 name	anun, anuan //",,armenian,2165,
"Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Gallo-Romance,Gallo-Rhaetian,O\""il,Southeastern","Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,NorthwesternShiftedRomance,Gallo-Rhaetian,Oil,Francoprovencalic",IE.ROMANCE,fran1260,frp,,,Indo-European,Indo-European,ARPITAN,{},45.77,False,4.83,,Arpitan,137000,2466,False,"ARPITAN{IE.ROMANCE|Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Gallo-Romance,Gallo-Rhaetian,O\""il,Southeastern|@Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,NorthwesternShiftedRomance,Gallo-Rhaetian,Oil,Francoprovencalic}
 1   45.77    4.83      137000         frp
1 I	Z3, c3 //
2 you	t3 //
3 we	no, nu //
11 one	yo* //
12 two	dow //
18 person	omu //
19 fish	p3so* //
21 dog	Si*, ci* //
22 louse	 //
23 tree	abro //
25 leaf	foL3, foLi //
28 skin	 //
30 blood	so*, so*k //
31 bone	 //
34 horn	 //
39 ear	or3L3, or3Li //
40 eye	yi //
41 nose	na, no //
43 tooth	dE* //
44 tongue	lE*wa, lE*gw~a //
47 knee	Z3nu, c3nu //
48 hand	ma* //
51 breast	 //
53 liver	 //
54 drink	bEa //
57 see	vEa //
58 hear	ekota, exota //
61 die	mori, mo8i //
66 come	v35i, v3ni //
72 sun	solEL, sElol //
74 star	etela, e8ela //
75 water	Ewa, Egw~a //
77 stone	py~Eri, py~E8i //
82 fire	 //
85 path	Sami*, cami* //
86 mountain	mo*ta5i, monta53 //
92 night	nE, nw~E //
95 full	plE*, py~E* //
96 new	novy~o, nu //
100 name	no* //",,romance,2466,
"Indo-European,Indo-Iranian,Indo-Aryan,OuterLanguages,Northwestern,Dardic,Shina","Indo-European,Indo-Iranian,Indo-Aryan,Indo-AryanNorthwesternzone,Shinaic,WesternShinaic,Dangari",IE.INDIC,phal1254,phl,,,Indo-European,Indo-European,ASHRET_PHALURA,{},35.44,False,71.75,,Ashret Phalura,10000,2225,False,"ASHRET_PHALURA{IE.INDIC|Indo-European,Indo-Iranian,Indo-Aryan,OuterLanguages,Northwestern,Dardic,Shina|@Indo-European,Indo-Iranian,Indo-Aryan,Indo-AryanNorthwesternzone,Shinaic,WesternShinaic,Dangari}
 1   35.44   71.75       10000         phl
1 I	m3 //
2 you	tu //
3 we	bE //
11 one	ak //
12 two	du //
18 person	mi*S //
19 fish	rem3c //
21 dog	kuCuro //
22 louse	 //
23 tree	mot //
25 leaf	pala //
28 skin	pusto //
30 blood	rath~ //
31 bone	h3duNk //
34 horn	SiNg3 //
39 ear	kan //
40 eye	3Ch~i //
41 nose	nast //
43 tooth	dand //
44 tongue	jib //
47 knee	 //
48 hand	hath~ //
51 breast	CiCi //
53 liver	 //
54 drink	pi //
57 see	daCi //
58 hear	Su*to, ka*th~a //
61 die	muro //
66 come	ya //
72 sun	suri //
74 star	toro //
75 water	bi //
77 stone	bat //
82 fire	aNgor //
85 path	pand //
86 mountain	 //
92 night	rot //
95 full	 //
96 new	nao //
100 name	no* //",,indic,2225,
