id,properties/icon,properties/name,properties/language/longitude,properties/language/pk,properties/language/name,properties/language/id,properties/language/latitude,type,geometry/coordinates/0,geometry/coordinates/1,geometry/type
AUNI,http://asjp.clld.org/clld-static/icons/cff6600.png,Auni,21.5,1,Auni,AUNI,-24,Feature,21.5,-24,Point
BATWA,http://asjp.clld.org/clld-static/icons/cff6600.png,Batwa,26,2,Batwa,BATWA,-29,Feature,26,-29,Point
KAM_KA_KE,http://asjp.clld.org/clld-static/icons/cff6600.png,Kam Ka Ke,21,3,Kam Ka Ke,KAM_KA_KE,-31,Feature,21,-31,Point
MASARWA_KAKIA,http://asjp.clld.org/clld-static/icons/cff6600.png,Masarwa Kakia,21.5,4,Masarwa Kakia,MASARWA_KAKIA,-24,Feature,21.5,-24,Point
NG_KE,http://asjp.clld.org/clld-static/icons/cff6600.png,Ng Ke,21,5,Ng Ke,NG_KE,-26,Feature,21,-26,Point
NU,http://asjp.clld.org/clld-static/icons/cff6600.png,Nu,21,6,Nu,NU,-26,Feature,21,-26,Point
NU_EN,http://asjp.clld.org/clld-static/icons/cff6600.png,Nu En,21.5,7,Nu En,NU_EN,-24,Feature,21.5,-24,Point
XOON,http://asjp.clld.org/clld-static/icons/cff6600.png,Xoon,21.5,8,Xoon,XOON,-24,Feature,21.5,-24,Point
XOON_MASARWA,http://asjp.clld.org/clld-static/icons/cff6600.png,Xoon Masarwa,22.83,9,Xoon Masarwa,XOON_MASARWA,-19.35,Feature,22.83,-19.35,Point
XOON_NUEN,http://asjp.clld.org/clld-static/icons/cff6600.png,Xoon Nuen,22.17,10,Xoon Nuen,XOON_NUEN,-21.68,Feature,22.17,-21.68,Point
GWI,http://asjp.clld.org/clld-static/icons/cff6600.png,Gwi,21.75,11,Gwi,GWI,-22.67,Feature,21.75,-22.67,Point
GXANA,http://asjp.clld.org/clld-static/icons/cff6600.png,Gxana,23.33,12,Gxana,GXANA,-22.17,Feature,23.33,-22.17,Point
KHOEKHOEGOWAB,http://asjp.clld.org/clld-static/icons/cff6600.png,Khoekhoegowab,18,13,Khoekhoegowab,KHOEKHOEGOWAB,-25.5,Feature,18,-25.5,Point
KHWE,http://asjp.clld.org/clld-static/icons/cff6600.png,Khwe,22.5,14,Khwe,KHWE,-17.5,Feature,22.5,-17.5,Point
KORANA,http://asjp.clld.org/clld-static/icons/cff6600.png,Korana,20.5,15,Korana,KORANA,-29.5,Feature,20.5,-29.5,Point
KWADI,http://asjp.clld.org/clld-static/icons/cff6600.png,Kwadi,12.3,16,Kwadi,KWADI,-16.27,Feature,12.3,-16.27,Point
KXOE,http://asjp.clld.org/clld-static/icons/cff6600.png,Kxoe,22.5,17,Kxoe,KXOE,-17.5,Feature,22.5,-17.5,Point
MASARWA_TATI,http://asjp.clld.org/clld-static/icons/cff6600.png,Masarwa Tati,26,18,Masarwa Tati,MASARWA_TATI,-22.5,Feature,26,-22.5,Point
NAMA,http://asjp.clld.org/clld-static/icons/cff6600.png,Nama,18,19,Nama,NAMA,-25.5,Feature,18,-25.5,Point
NAMA_2,http://asjp.clld.org/clld-static/icons/cff6600.png,Nama 2,18,20,Nama 2,NAMA_2,-25.5,Feature,18,-25.5,Point
NARO,http://asjp.clld.org/clld-static/icons/cff6600.png,Naro,20.5,21,Naro,NARO,-22.5,Feature,20.5,-22.5,Point
NARON,http://asjp.clld.org/clld-static/icons/cff6600.png,Naron,20.5,22,Naron,NARON,-22.33,Feature,20.5,-22.33,Point
HOAN,http://asjp.clld.org/clld-static/icons/cff6600.png,Hoan,24.95,27,Hoan,HOAN,-23.92,Feature,24.95,-23.92,Point
JUHOAN,http://asjp.clld.org/clld-static/icons/cff6600.png,Juhoan,21,28,Juhoan,JUHOAN,-19,Feature,21,-19,Point
KAUEN,http://asjp.clld.org/clld-static/icons/cff6600.png,Kauen,21.75,29,Kauen,KAUEN,-21.33,Feature,21.75,-21.33,Point
KUNG,http://asjp.clld.org/clld-static/icons/cff6600.png,Kung,18,30,Kung,KUNG,-19.67,Feature,18,-19.67,Point
KUNG_EKOKA,http://asjp.clld.org/clld-static/icons/cff6600.png,Kung Ekoka,18,31,Kung Ekoka,KUNG_EKOKA,-19.67,Feature,18,-19.67,Point
O_KUNG,http://asjp.clld.org/clld-static/icons/cff6600.png,O Kung,18.75,32,O Kung,O_KUNG,-17,Feature,18.75,-17,Point
SANDAWE,http://asjp.clld.org/clld-static/icons/cff6600.png,Sandawe,35,34,Sandawe,SANDAWE,-5,Feature,35,-5,Point
