language_name,language_code,lexemes,word_id,word_meaning,word_orthographic_form,word_phonological_form,word_gloss,word_notes
Proto-Indo-European,,192,82,I,*h₁eg̑h₂-óm,,,
Proto-Indo-European,,192,82,I,*me-,,1sg.ACC,
Proto-Indo-European,,192,2,and,*de,,,
Proto-Indo-European,,192,2,and,*kʷe,,,
Proto-Indo-European,,192,4,ashes,"*h₂éh₁s-s, *h₂h₁s-ós",,,
Proto-Indo-European,,192,5,at,"*h₁epi, *h₁opi",,,
Proto-Indo-European,,192,5,at,*h₂ed,,,
Proto-Indo-European,,192,7,bad,*uba,,,Attested in Gmc only.
Proto-Indo-European,,192,10,belly,*udero-,,,Reconstruction not certain.
Proto-Indo-European,,192,11,big,*meg̑-,,,
Proto-Indo-European,,192,12,bird,*h₂éu̯(-)i-,,,
Proto-Indo-European,,192,13,bite,*h₁ed-,,,
Proto-Indo-European,,192,13,bite,*gᵘrug̑ʰ-,,,"Onomatopoetic, see Pokorny:485, Frisk:274"
Proto-Indo-European,,192,13,bite,*denk̑-,,beißen; bite,
Proto-Indo-European,,192,14,black,*swordos,,,Cognate with Lat. sordês 'dirt'.
Proto-Indo-European,,192,14,black,*h₂ems-,,,
Proto-Indo-European,,192,15,blood,*h₁ésh₂r̥-,,,
Proto-Indo-European,,192,15,blood,*kreu̯h₂-,,,
Proto-Indo-European,,192,16,blow,*h₂u̯eh₁-,,,
Proto-Indo-European,,192,16,blow,"*bʰleh₁-, *bʰl̥h₁-",,,"Meaning ""blow"", also ""cry"" (LIV)"
Proto-Indo-European,,192,17,bone,"*h₃ésth₁-ōi, *h₃esth₁-i-, *k-osti-",,,Probable variant with initial k- ...
Proto-Indo-European,,192,18,breast,"*speno-, *p(H)sten-o-",,,"""breast, nipple"" (Pokorny:990)"
Proto-Indo-European,,192,19,breathe,*pneu̯-,,,"""hauchen, keuchen"" (LIV)"
Proto-Indo-European,,192,20,burn,*su̯el-,,,"""schwelen, brennen"" (LIV)"
Proto-Indo-European,,192,20,burn,*dʰegʷʰ-,,,"""mit Feuer behandeln, verbrennen"" (tr.) ..."
Proto-Indo-European,,192,20,burn,*h₁eu̯s-,,,"""verbrennen, sengen"" (LIV)"
Proto-Indo-European,,192,22,cloud,*nébʰ-os,,,s-stem neuter
Proto-Indo-European,,192,23,cold,*kalda-,,,Proto-Germanic form. The root has ...
Proto-Indo-European,,192,24,come,*gʷem-,,,"""(wohin) gehen, kommen"" (LIV)"
Proto-Indo-European,,192,27,day,*di̯eu̯-,,,"""Tag, Himmel, Himmelsgott"" (Mayrhofer)"
Proto-Indo-European,,192,27,day,*dʰōg̑ʰ-e/os-,,,
Proto-Indo-European,,192,28,die,*mer-,,,"""verschwinden, sterben"" (LIV)"
Proto-Indo-European,,192,31,dog,*k̑uōn,,,
Proto-Indo-European,,192,32,drink,*h₁egʷʰ-,,,
Proto-Indo-European,,192,32,drink,*peh₃(i̯)-,,,
Proto-Indo-European,,192,33,dry,"*tr̥s-ú-, *tērs-o-",,,"To √*ters- ""vertrocknen, durstig werden"" ..."
Proto-Indo-European,,192,35,dust,*prs-o-,,,Connections with IE OIc. fors ...
Proto-Indo-European,,192,36,ear,*h₂eu̯s-,,,
Proto-Indo-European,,192,37,earth,"*dʰg̑ʰ(e)m, *dʰég̑ʰ-m",,,
Proto-Indo-European,,192,38,eat,*h₁ed-,,,"""(beissen) -> essen"" (LIV), cf. ..."
Proto-Indo-European,,192,39,egg,*h₂ōu-ió-,,,"Vriddhi-formation to PIE *h₂éu-is, gen.*h₂u-éi-s ..."
Proto-Indo-European,,192,40,eye,*h₃okʷ-n-,,,
Proto-Indo-European,,192,41,fall,*peth₁-,,'fallen',
Proto-Indo-European,,192,42,far,*u̯i-itós,,,"Literally ""gone far"" (Kluge)"
Proto-Indo-European,,192,43,fat,*smer-u-,,,
Proto-Indo-European,,192,44,father,*atta-,,,Onomatopoeic word.
Proto-Indo-European,,192,44,father,*ph₂tḗr,,,
Proto-Indo-European,,192,49,fingernail,*h₃nógʰ-s,,,
Proto-Indo-European,,192,50,fire,*h₂eh₁-t(e)r-,,,"Nom. Ag. to √*h₂eh₁- ""heiss ..."
