language_name,language_code,lexemes,word_id,word_meaning,word_orthographic_form,word_phonological_form,word_gloss,word_notes
Ancient Greek,grc,283,82,I,ἐγώ,eɡɔ́ː,I,G.sg. ἐμοῦ (suppletive stem)
Ancient Greek,grc,283,1,all,πᾶς,pȃːs,"every, all","G.sg. πάντος; πᾶς, πᾶσα, πᾶν. ..."
Ancient Greek,grc,283,2,and,τε,te,and,EXCLUDE. enclitic
Ancient Greek,grc,283,2,and,καί,kái̯,"and, even","Conjunction, coordinating words and clauses."
Ancient Greek,grc,283,3,animal,ζῷον,zdɔ̑ːjon,"living being, animal",G.sg. ζῷου.
Ancient Greek,grc,283,3,animal,θήρ,tʰɛ́ːr,"wild animal, beast of prey",EXCLUDE.
Ancient Greek,grc,283,4,ashes,σπόδος,spódos,"wood ashes, embers",EXCLUDE.
Ancient Greek,grc,283,4,ashes,τέφρᾱ,tépʰraː,ashes,G.sg. τέφρας
Ancient Greek,grc,283,4,ashes,κόνις,kóniːs,dust,EXCLUDE.
Ancient Greek,grc,283,5,at,ἐπί,epí,"upon, at",Preposition (static locative sense when ...
Ancient Greek,grc,283,5,at,παρά,pará,beside,EXCLUDE.
Ancient Greek,grc,283,5,at,ἐν,en,"in, into",EXCLUDE.
Ancient Greek,grc,283,6,back,νῶτον,nɔ̑ːton,back (of men and animals),G.sg. νῶτου
Ancient Greek,grc,283,7,bad,κακός,kakós,bad,"G.sg. κακοῦ; κακός, κακή, κακόν"
Ancient Greek,grc,283,8,bark,φλοιός,pʰloiós,bark,G.sg. φλοιοῦ
Ancient Greek,grc,283,9,because,διότι,dióti,because,"Causal conjunction. AF ὅτι, hóti. ..."
Ancient Greek,grc,283,9,because,ἔνεκα,éneka,on account of,"EXCLUDE. Postposition. AF ἔινεκα, etym. ..."
Ancient Greek,grc,283,10,belly,γαστήρ,ɡastɛ́ːr,"paunch, belly",G.sg. γαστέρος.
Ancient Greek,grc,283,11,big,μέγας,méɡas,"big, large","G.sg. μεγάλου; μέγας, μεγάλη, μέγα. ..."
Ancient Greek,grc,283,12,bird,ἀετός,aetós,eagle,EXCLUDE.
Ancient Greek,grc,283,12,bird,ὄρνῑς,órniːs,bird,G.sg. ὄρνῑθος. General word including ...
Ancient Greek,grc,283,13,bite,δάκνω,dáknɔː,bite,Inf. δάκνειν
Ancient Greek,grc,283,14,black,κελαινός,kelai̯nós,"black, dark, murky",EXCLUDE.
Ancient Greek,grc,283,14,black,μέλᾱς,mélaːs,"black, dark","G.sg. μέλανος; μέλᾱς, μέλαινα, μέλᾰν"
Ancient Greek,grc,283,15,blood,αἷμα,háɪ̀ma,blood,G.sg. αἵματος
Ancient Greek,grc,283,16,blow,φῡσάω,pʰyːsáɔː,"blow, puff",Inf. φῡσᾶν.
Ancient Greek,grc,283,16,blow,πνέω,pnéɔː,breathe (in/out),Inf. πνεῖν
Ancient Greek,grc,283,17,bone,ὀστοῦν (ὀστέον),ostȗːn,bone,G.sg. ὀστέου . Attic form ...
Ancient Greek,grc,283,18,breast,στῆθος,stɛ̑ːtʰos,breast,G.sg. στήθεος. 'breast (of both ...
Ancient Greek,grc,283,19,breathe,πνέω,pnéɔː,breathe (in/out),Inf. πνεῖν
Ancient Greek,grc,283,20,burn,εὔω,éu̯ɔː,singe,EXCLUDE.
Ancient Greek,grc,283,20,burn,καίομαι,kái̯omai̯,"be lighted, burn",Inf. καίεσθαι. Medio-passive verb form. ...
Ancient Greek,grc,283,21,child,παῖς,páɪ̀s,child,G.sg. παιδός. Generically ‘child' and ...
Ancient Greek,grc,283,22,cloud,νέφος,népʰos,cloud,G.sg. νέφεος. νέφος (s-stem neut.) ...
Ancient Greek,grc,283,23,cold,ψῡχρός,psyːkʰrós,cold,"G.sg. ψῡχροῦ; ψῡχρός, ψῡχρά, ψῡχρον."
Ancient Greek,grc,283,23,cold,κρυερός,kryerós,"icy, chilling",EXCLUDE.
Ancient Greek,grc,283,24,come,ἔρχομαι,érkʰomai̯,"come, go",Inf. ἔρχεσθαι. Present stem only ...
Ancient Greek,grc,283,25,count,ἀριθμέω,aritʰméɔː,"number, count",Inf. ἀριθμεῖν.
Ancient Greek,grc,283,26,cut,τέμνω,témnɔː,cut,Inf. τέμνειν.
Ancient Greek,grc,283,26,cut,κόπτω,kóptɔː,"cut, strike; smite",EXCLUDE.
Ancient Greek,grc,283,27,day,ἡμέρᾱ,hɛːméraː,day,G.sg. ἡμέρᾱς
Ancient Greek,grc,283,28,die,(ἀπο-)θνῄσκω,(apo-)tʰnɛ́ːjskɔː,die,Inf. (ἀπο-)θνῄσκειν.
Ancient Greek,grc,283,29,dig,ὀρύττω,orýtːɔː,"dig, dig up",Inf. ὀρύττειν (Ion. ὀρύσσειν).
Ancient Greek,grc,283,29,dig,σκάπτω,skáptɔː,"dig, dig about",Inf. σκάπτειν.
Ancient Greek,grc,283,30,dirty,ῥυπαρός,hryparós,"dirty, filthy","G.sg. ῥυπαροῦ; ῥυπαρός, ῥυπαρά, ῥυπαρόν."
Ancient Greek,grc,283,31,dog,κύων,kýɔːn,dog,G.sg. κυνός.
Ancient Greek,grc,283,32,drink,πῑ́νω,píːnɔː,drink,Inf. πῑ́νειν.
Ancient Greek,grc,283,33,dry,αὐχμηρός,au̯kʰmɛːrós,"dry, parched",EXCLUDE.
Ancient Greek,grc,283,33,dry,ξηρός,kʰsɛːrós,dry,"G.sg. ξηροῦ; ξηρός, ξηρά, ξηρόν. ..."
Ancient Greek,grc,283,34,dull,ἀμβλύς,amblýs,"blunt, dulled","G.sg. ἀμβλέος ; ἀμβλύς, ἀμβλεῖα, ..."
Ancient Greek,grc,283,35,dust,κόνις,kóniːs,dust,G.sg. κόνεως.
Ancient Greek,grc,283,36,ear,οὖς,ȗːs,ear,G.sg. ὠτός.
Ancient Greek,grc,283,37,earth,χθών,kʰtʰɔ́ːn,"earth, surface of the earth",EXCLUDE.
Ancient Greek,grc,283,37,earth,γῆ,ɡɛ̑ː,"earth, land, ground",G.sg. γῆς.
Ancient Greek,grc,283,38,eat,ἐσθίω,estʰíɔː,eat,Inf. ἐσθίειν.
Ancient Greek,grc,283,39,egg,ᾠόν,ɔːjón,egg,G.sg. ᾠοῦ.
