language,longitude,latitude
Northern Baima,104.46,32.91
Daga,149.33,-10.0
S Sierra Miwok,-120.0,37.5
Xiyun Wa,99.81,22.43
Pongu,6.33,10.08
Palauan,134.6,7.5
Suru Kavian Apma,168.17,-15.67
Saliba Columbia,-70.0,6.0
Chumash Barbareno,-120.25,34.5
Itzaj,-89.83,17.0
Auchi,6.5,7.25
S44 Ndebele Zimbabwe,29.0,-20.0
Duala,9.42,4.0
Ainu Niikappu,142.32,42.37
Dyarim,9.07,10.03
Sabane,-60.6,-13.1
Kukwo,142.65,-3.57
Nande Shu,29.17,-0.08
Kanuri,13.0,12.0
Kapriman,143.17,-4.5
Morigi,143.83,-7.58
Burmbar Vartavo,167.77,-16.35
Savosavo,159.8,-9.13
Punu 1,11.33,-2.5
Punu 2,11.33,-2.5
Sharwa,13.57,10.15
Manobo Kalamansig Cotabato,124.83,6.08
C80 Shuwa,21.5,-4.5
Laotien,103.0,18.0
Ahlo,0.67,6.67
Lincheng Lingao,109.68,19.9
Mpoto,34.75,-11.25
Sui Jung Chiang,107.5,26.0
Proto Tzeltalan,-93.65,16.66
Oyakiri,5.67,4.92
Mewa Khola Limbu,87.62,27.43
Sonde Kyaanza,18.33,-6.25
Sarawandori,136.25,-1.75
Zamba,18.17,1.0
Madija,-70.5,-6.0
Papuma,135.83,-1.72
Nggela,160.3,-9.08
Asumboa,166.67,-11.33
Proto Malayo Polynesian,124.0,-9.0
Aribwatsa,147.0,-6.72
Wangka Wiru,130.0,-26.0
Balese,29.0,2.0
Mantasta Ahtena,-143.0,62.92
Mursi,36.08,5.58
Bira Miala Bunia,30.0,1.25
Wampar,146.7,-6.75
Yuki,-123.5,39.67
Ndumu,13.58,-1.67
Nahuatl Xalpatlahuac,-98.62,17.0
Hamap,124.5,-8.25
Wayuu,-72.0,12.0
Nduma,18.0,-3.0
Baniwa 2,-66.83,2.67
Kulung Nigeria,10.55,9.1
Tabla W,140.42,-2.45
Pocomam San Luis Jilotepeque,-89.73,14.65
South Andaman,92.67,12.0
Chimborazo Quichua,-78.76,-1.74
Tabla C,140.42,-2.45
Subanon Siocon,122.33,7.67
Akar Bale,92.83,12.67
Maguan Tai,104.39,23.01
Uyum Nagar Burushaski,74.5,36.5
Muyuw,152.75,-9.08
Izere,9.0,10.0
Saberi,138.5,-1.83
Tipai,-116.5,32.17
Lendu Pidha,30.05,2.0
Buol,121.5,1.0
Moronene Tokotua,122.0,-5.25
Dumpu,145.73,-5.84
Guayabero,-72.0,2.83
Walman,142.5,-3.22
Igede,8.2,6.53
Pondok,119.42,-9.75
Lengola 2,25.0,-0.5
Naga Liangmai,94.75,26.07
Chorote,-62.5,-22.5
S41 Xhosa,27.0,-32.0
Dogon Toro Tegu Nemguene,-2.4,15.0
Bukitan,116.5,1.5
Koko Yalandji,145.0,-16.0
Jingcun Bunu,108.0,23.73
Latvian Romani,24.03,56.23
Boikin,143.5,-3.5
Lu,100.67,22.0
Guajajara,-46.0,-5.0
Mandan,-102.5,46.5
East Tarakiri,5.67,4.92
Gaelic Scottish,-4.0,57.0
Serer Sine,-16.3,14.2
Angami,94.5,25.67
Mah Meri,101.5,2.83
Nyanja 2,34.0,-14.0
Inuktitut Eastern Canadian,-73.0,62.0
Irantxe,-58.0,-13.0
Baka Sudan,29.25,4.83
Playero,-71.0,7.0
Mboshi Ngolo,15.58,-1.33
Yancheng Wa,99.5,22.5
Ngamo,11.1,11.35
Gula Sara,22.5,9.5
Iau 2,137.5,-3.17
Saparua Haria,127.92,-3.5
We Southern,-7.75,6.67
Kwangali,19.5,-18.0
Kara Bodoe,15.0,6.0
Hongfeng Gelao,105.8,27.16
Mpondomise,27.0,-32.0
Ron Monguna,8.75,9.0
Tolo,160.17,-9.75
Tuamotuan,-144.0,-17.0
Finallig,121.17,17.08
Lewo Visina,168.2,-16.57
Azerbaijani Southern,47.0,37.5
Kokama,-74.5,-5.0
Hiw,166.56,-13.13
Otomi Queretaro,-100.08,20.08
Umiray Dumaget Agta,121.55,14.87
Mondari,31.5,5.75
Sandawe,35.0,-5.0
Penrhyn,-158.0,-9.0
White Thai,104.42,21.42
Sabum,102.5,4.0
Seti,141.83,-3.42
Alor,124.0,-7.67
Kajgir,138.83,-6.33
Nahuatl Jalatlaco,-99.42,19.18
Niue,-170.12,-19.05
Ntsiami,14.0,-0.5
Tapei Angarat,143.7,-4.8
Kuvi,82.67,18.75
Proto Eastern Hmong,106.65,26.13
Shama,6.25,10.45
Wichita 2,-97.33,33.33
Bahnar,108.33,13.83
Molmo One,141.83,-3.42
Northern Sierra Miwok,-120.67,38.33
Romungro Romani,19.0,48.67
Yukpa,-72.75,10.17
Kalanga 2,27.5,-20.5
Bario Kelabit,115.42,3.67
Turkmen,58.0,40.0
Pemon,-62.0,5.33
Nanubae Imameri,143.7,-4.65
Northern Catanduanes,124.25,13.92
Casiguran Negrito,122.0,16.33
Koda,87.48,23.23
Ogba,6.5,5.25
Dghwede,13.67,11.0
Ega,-5.5,5.5
Horo,18.23,9.31
Kwadza,36.1,-6.2
Lampung,105.0,-5.0
Dogon Bondum Dom,-3.4,14.9
Itumbuso,7.83,5.5
Daya Lampung Api,105.0,-5.0
Nahuatl Coatepec Costales,-99.83,18.35
Piaroa,-67.0,5.0
Yuwana 2,-65.75,5.0
Cen,9.01,9.44
Catalan,2.0,41.75
Nahuatl San Francisco Tlalnepantla,-99.12,19.18
