language,longitude,latitude
Swedish,15.0,60.0
German,,
Icelandic,-17.0,65.0
Old Church Slavonic,22.95,40.63
Marathi,76.0,19.0
Italian,12.0,43.0
Oriya,85.0,21.0
Slovenian,15.0,46.0
Ossetic,,
Old Norse,10.38,63.42
Middle Cornish,,
Dutch,6.0,52.5
Faroese,-7.0,62.0
Magahi,,
Ossetic Digor,,
Danish,10.0,56.0
Bulgarian,25.0,42.5
Latin,12.45,41.9
Bihari,,
Ossetic Iron,,
French,2.0,48.0
Stavangersk,,
Catalan,2.0,41.75
[Legacy] Breton St,,
Romanian,25.0,46.0
Russian,38.0,56.0
Slovak,20.0,49.0
Assamese,93.0,26.0
Frisian,,
Old Swedish,,
Serbo-Croatian,,
Classical Armenian,,
Gutnish Lau,,
Greek,22.0,39.0
Old Irish,-8.0,53.0
English,0.0,52.0
Norwegian Riksmal,8.0,61.0
[Legacy] Serbian,,
Sorbian Upper,,
Middle Breton,,
Portuguese,-8.0,39.0
Irish,,
Elfdalian,,
Armenian Eastern,,
Czech,15.0,50.0
Ukrainian,33.0,49.0
Ancient Greek,,
Belarusian,28.0,54.0
Sorbian Lower,,
Macedonian,21.75,41.67
Marwari,75.07,27.0
Spanish,-4.0,40.0
Urdu,67.0,25.0
Polish,20.0,52.0
Danish Fjolde,,
Breton,-3.0,48.0
